number,movies,cast,directors
0,Citizen Kane,Joseph Cotten,Orson Welles
1,The Godfather,Orson Welles,Francis Ford Coppola
2,Rear Window,Al Pacino,Alfred Hitchcock
3,Casablanca,Marlon Brando,Michael Curtiz
4,Boyhood,Frank Cady,Richard Linklater
5,Three Colors: Red,Georgine Darcy,Krzysztof Kieslowski
6,Vertigo,Grace Kelly,Alfred Hitchcock
7,Notorious,James Stewart,Alfred Hitchcock
8,Singin' in the Rain,Judith Evelyn,Gene Kelly
9,City Lights,Raymond Burr,Stanley Donen
10,Moonlight,Ross Bagdasarian,Charles Chaplin
11,Intolerance,Sara Berner,Barry Jenkins
12,Pinocchio,Thelma Ritter,D.W. Griffith
13,Touch of Evil,Wendell Corey,Ben Sharpsteen
14,The Lady Vanishes,Humphrey Bogart,Bill Roberts
15,The Treasure of the Sierra Madre,Ingrid Bergman,Hamilton Luske
16,Pan's Labyrinth,Bonnie Cross,Jack Kinney
17,Some Like It Hot,Elijah Smith,Norman Ferguson
18,North by Northwest,Ellar Coltrane,T. Hee
19,Hoop Dreams,Ethan Hawke,Wilfred Jackson
20,Rashomon,Libby Villari,Orson Welles
21,All About Eve,Lorelei Linklater,Alfred Hitchcock
22,Jules and Jim,Marco Perella,John Huston
23,The Wild Bunch,Patricia Arquette,Guillermo del Toro
24,My Left Foot,Steven Chester Prince,Billy Wilder
25,The Third Man,Irène Jacob,Alfred Hitchcock
26,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Jean-Louis Trintignant,Steve James
27,"Quo Vadis, Aida?",Barbara Bel Geddes,Akira Kurosawa
28,Gone with the Wind,David Ahdar,Joseph L. Mankiewicz
29,"4 Months, 3 Weeks and 2 Days",Ellen Corby,François Truffaut
30,Psycho,Henry Jones,Sam Peckinpah
31,Battleship Potemkin,James Stewart,Jim Sheridan
32,A Streetcar Named Desire,Kim Novak,Carol Reed
33,American Graffiti,Konstantin Shayne,Stanley Kubrick
34,Dumbo,Lee Patrick,Jasmila Zbanic
35,Roma,Raymond Bailey,George Cukor
36,Ran,Tom Helmore,Sam Wood
37,The Shop Around the Corner,Cyd Charisse,Victor Fleming
38,12 Angry Men,Dawn Addams,Cristian Mungiu
39,Manchester by the Sea,Debbie Reynolds,Alfred Hitchcock
40,Rosemary's Baby,Donald O'Connor,Sergei M. Eisenstein
41,The Maltese Falcon,Douglas Fowley,Elia Kazan
42,12 Years a Slave,Gene Kelly,George Lucas
43,Killer of Sheep,Jean Hagen,Ben Sharpsteen
44,Nashville,John Albright,Bill Roberts
45,Ratatouille,Millard Mitchell,Jack Kinney
46,Parasite,Rita Moreno,John Elliotte
47,Rocks,Alex R. Hibbert,Norman Ferguson
48,Don't Look Now,Ashton Sanders,Samuel Armstrong
49,The Grapes of Wrath,Duan Sanderson,Wilfred Jackson
50,Children of Paradise (1945),Herman 'Caheei McGloun,Alfonso Cuarón
51,Mean Streets,Jaden Piner,Akira Kurosawa
52,The Lady Eve,Janelle Monáe,Ernst Lubitsch
53,Gravity,Mahershala Ali,Sidney Lumet
54,Fantasia,Naomie Harris,Kenneth Lonergan
55,Spirited Away,Shariff Earp,Roman Polanski
56,Beauty and the Beast,Lillian Gish,John Huston
57,Small Axe: Lovers Rock,Charles Judels,Steve McQueen
58,Toy Story,Cliff Edwards,Charles Burnett
59,The Bride of Frankenstein,Dickie Jones,Robert Altman
60,The Social Network,Don Brodie,Brad Bird
61,My Fair Lady,Frankie Darro,Joon-ho Bong
62,Portrait of a Lady on Fire,Marion Darlington,Sarah Gavron
63,I Am Not Your Negro,Mel Blanc,Nicolas Roeg
64,Woodstock,Stuart Buchanan,John Ford
65,Double Indemnity,Walter Catlett,Marcel Carné
66,Snow White and the Seven Dwarfs,Akim Tamiroff,Martin Scorsese
67,The Hurt Locker,Charlton Heston,Preston Sturges
68,Anatomy of a Murder,Dennis Weaver,Alfonso Cuarón
69,Zero Dark Thirty,Janet Leigh,Ben Sharpsteen
70,Collective,Joanna Moore,Bill Roberts
71,A Separation,Joseph Calleia,David Hand
72,WALL-E,Mort Mills,Ford Beebe Jr.
73,Carol,Orson Welles,Hamilton Luske
74,Before Midnight,Ray Collins,James Algar
75,Amour,Valentin de Vargas,Jim Handley
76,Dunkirk,Alfonso Bedoya,Norman Ferguson
77,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Arturo Soto Rangel,Paul Satterfield
78,The Man Who Shot Liberty Valance,Barton MacLane,Samuel Armstrong
79,The Searchers,Bruce Bennett,T. Hee
80,45 Years,Humphrey Bogart,Wilfred Jackson
81,Taxi Driver,José Torvay,Hayao Miyazaki
82,Pulp Fiction,Manuel Dondé,Gary Trousdale
83,The Manchurian Candidate,Margarito Luna,Kirk Wise
84,Mr. Turner,Tim Holt,Steve McQueen
85,The Irishman,Walter Huston,John Lasseter
86,Grave of the Fireflies (1988),Ariadna Gil,James Whale
87,The Wild Child,Ivana Baquero,David Fincher
88,Amazing Grace,Sergi López,George Cukor
89,Shadow of a Doubt,Billy Gray,Céline Sciamma
90,Inside Out,George E. Stone,Raoul Peck
91,Sideways,George Raft,Michael Wadleigh
92,Schindler's List,Jack Lemmon,Billy Wilder
93,Meet Me in St. Louis,Joan Shawlee,Ben Sharpsteen
94,The Apartment,Joe E. Brown,David Hand
95,Apocalypse Now,Marilyn Monroe,Larry Morey
96,The Gunfighter,Nehemiah Persoff,Perce Pearce
97,We Were Here,Pat O'Brien,Wilfred Jackson
98,Lady Bird,Tony Curtis,William Cottrell
99,Chimes at Midnight,Adam Williams,Kathryn Bigelow
100,The Lord of the Rings: The Return of the King,Cary Grant,Otto Preminger
101,Carlos,Edward Platt,Kathryn Bigelow
102,Marriage Story,Eva Marie Saint,Alexander Nanau
103,La La Land,James Mason,Asghar Farhadi
104,Faces Places,Jessie Royce Landis,Andrew Stanton
105,"Crouching Tiger, Hidden Dragon",Josephine Hutchinson,Todd Haynes
106,Nomadland,Leo G. Carroll,Richard Linklater
107,The Servant,Martin Landau,Michael Haneke
108,Call Me by Your Name,Philip Ober,Christopher Nolan
109,The Magnificent Ambersons,Anne Baxter,Ahmir-Khalib Thompson
110,Reversal of Fortune,Barbara Bates,John Ford
111,David Byrne’s American Utopia,Bette Davis,John Ford
112,Shoplifters,Celeste Holm,Andrew Haigh
113,Shoah: Four Sisters,Gary Merrill,Martin Scorsese
114,The 39 Steps,George Sanders,Quentin Tarantino
115,Duck Soup,Gregory Ratoff,John Frankenheimer
116,Petite Maman,Hugh Marlowe,Mike Leigh
117,Days of Heaven,Marilyn Monroe,Martin Scorsese
118,Toni Erdmann,Thelma Ritter,Isao Takahata
119,Yi Yi,Jeanne Moreau,François Truffaut
120,McCabe & Mrs. Miller,Oskar Werner,Alan Elliott
121,The Best Years of Our Lives,Ben Johnson,Sydney Pollack
122,Stagecoach,Edmond O'Brien,Alfred Hitchcock
123,Inside Llewyn Davis,Emilio Fernández,Pete Docter
124,Sherpa,Ernest Borgnine,Ronaldo Del Carmen
125,There Will Be Blood,Jaime Sánchez,Alexander Payne
126,Badlands,L.Q. Jones,Steven Spielberg
127,The Last Picture Show,Robert Ryan,Vincente Minnelli
128,Do the Right Thing,Strother Martin,Billy Wilder
129,Sita Sings the Blues,Warren Oates,Francis Ford Coppola
130,The Decline of Western Civilization,William Holden,Henry King
131,Rio Bravo,Brenda Fricker,Bill Weber
132,Brother's Keeper,Daniel Day-Lewis,David Weissman
133,Crumb,Alida Valli,Greta Gerwig
134,Spotlight,Bernard Lee,Orson Welles
135,The Band Wagon,Erich Ponto,Peter Jackson
136,One More Time with Feeling,Ernst Deutsch,Olivier Assayas
137,The Diving Bell and the Butterfly,Joseph Cotten,Noah Baumbach
138,Invasion of the Body Snatchers,Orson Welles,Damien Chazelle
139,The Class,Paul Hörbiger,Agnès Varda
140,Platoon,Siegfried Breuer,JR
141,35 Shots of Rum,Trevor Howard,Ang Lee
142,Apocalypse Now: Final Cut,Wilfrid Hyde-White,Chloé Zhao
143,Chinatown,George C. Scott,Joseph Losey
144,The Florida Project,Peter Sellers,Luca Guadagnino
145,Timbuktu,Boris Isakovic,Fred Fleck
146,Frenzy,Boris Ler,Orson Welles
147,Brief Encounter,Dino Bajrovic,Robert Wise
148,Cool Hand Luke,Emir Hadzihafizbegovic,Barbet Schroeder
149,Little Women,Izudin Bajrovic,Spike Lee
150,Maborosi,Jasna Djuricic,Hirokazu Koreeda
151,Top Hat,Johan Heldenbergh,Claude Lanzmann
152,Apocalypse Now Redux,Raymond Thiry,Alfred Hitchcock
153,Annie Hall,Reinout Bussemaker,Leo McCarey
154,The Lord of the Rings: The Fellowship of the Ring,Teun Luijkx,Céline Sciamma
155,Quiz Show,Vivien Leigh,Terrence Malick
156,Leviathan,Anthony Perkins,Maren Ade
157,Werckmeister Harmonies,Janet Leigh,Edward Yang
158,Toy Story 3,A. Glauberman,Robert Altman
159,This Is Spinal Tap,Aleksandr Antonov,William Wyler
160,The Look of Silence,Aleksandr Levshin,John Ford
161,Tower,Grigoriy Aleksandrov,Ethan Coen
162,The Rider,Ivan Bobrov,Joel Coen
163,Moolaadé,Konstantin Feldman,Jennifer Peedom
164,Atanarjuat: The Fast Runner,Mikhail Gomorov,Paul Thomas Anderson
165,Time,N. Poltavtseva,Terrence Malick
166,Gavagai,Prokhorenko,Peter Bogdanovich
167,The Man Who Would Be King,Vladimir Barskiy,Spike Lee
168,The Killing,Ann Dere,Nina Paley
169,Swing Time,Karl Malden,Penelope Spheeris
170,Breaking Away,Kim Hunter,Howard Hawks
171,The Souvenir,Marlon Brando,Bruce Sinofsky
172,After Life,Nick Dennis,Joe Berlinger
173,Son of Saul,Peg Hillias,Terry Zwigoff
174,Love Affair,Richard Garrick,Thomas McCarthy
175,Frankenstein,Rudy Bond,Vincente Minnelli
176,8½,Vivien Leigh,Andrew Dominik
177,Little Women,Wright King,Julian Schnabel
178,E.T. The Extra-Terrestrial,Bo Hopkins,Don Siegel
179,The African Queen,Candy Clark,Laurent Cantet
180,The Triplets of Belleville,Charles Martin Smith,Oliver Stone
181,The Queen,Cindy Williams,Claire Denis
182,All Quiet on the Western Front,Mackenzie Phillips,Francis Ford Coppola
183,A Bread Factory Part Two: Walk With Me a While,Manuel Padilla Jr.,Roman Polanski
184,Never Rarely Sometimes Always,Paul Le Mat,Sean Baker
185,The Ladykillers,Richard Dreyfuss,Abderrahmane Sissako
186,Young Mr. Lincoln,Ron Howard,Alfred Hitchcock
187,Stories We Tell,Wolfman Jack,David Lean
188,A Bread Factory Part One: For the Sake of Gold,Billy Bletcher,Stuart Rosenberg
189,The Act of Killing,Cliff Edwards,George Cukor
190,"This Is Not a Burial, It's a Resurrection",Eddie Holden,Hirokazu Koreeda
191,On the Waterfront,Edward Brophy,Mark Sandrich
192,Jafar Panahi's Taxi,Herman Bing,Francis Ford Coppola
193,Ida,James Baskett,Woody Allen
194,Beau Travail,Jim Carmichael,Peter Jackson
195,Uncut Gems,Noreen Gammill,Robert Redford
196,Waltz with Bashir,Sterling Holloway,Andrei Zvyagintsev
197,They Shall Not Grow Old,Verna Felton,Ágnes Hranitzky
198,EX LIBRIS: The New York Public Library,Andy Cortés,Béla Tarr
199,Secrets & Lies,Carlos Peralta,Lee Unkrich
200,Patton,Daniela Demesa,Rob Reiner
201,The Favourite,Diego Cortina Autrey,Joshua Oppenheimer
202,The Sweet Hereafter,Fernando Grediaga,Keith Maitland
203,The Right Stuff,Marco Graf,Chloé Zhao
204,Bambi,Marina de Tavira,Ousmane Sembene
205,Flee,Nancy García García,Zacharias Kunuk
206,Bringing Up Baby,Verónica García,Garrett Bradley
207,No Country for Old Men,Yalitza Aparicio,Rob Tregenza
208,The Gatekeepers,Akira Terao,John Huston
209,Nostalgia for the Light,Daisuke Ryû,Stanley Kubrick
210,David Copperfield,Jinpachi Nezu,George Stevens
211,Saving Private Ryan,Tatsuya Nakadai,Peter Yates
212,After Hours,Edwin Maxwell,Joanna Hogg
213,Her,Felix Bressart,Hirokazu Koreeda
214,The Crying Game,Frank Morgan,László Nemes
215,Great Expectations,Inez Courtney,Leo McCarey
216,Burning,James Stewart,James Whale
217,Winter's Bone,Joseph Schildkraut,Federico Fellini
218,Hope,Margaret Sullavan,Greta Gerwig
219,Gett: The Trial of Viviane Amsalem,Sara Haden,Steven Spielberg
220,I Called Him Morgan,Sarah Edwards,John Huston
221,Close Encounters of the Third Kind,William Tracy,Sylvain Chomet
222,The Godfather: Part II,Henry Fonda,Stephen Frears
223,The Hustler,Lee J. Cobb,Lewis Milestone
224,L.A. Confidential,Casey Affleck,Patrick Wang
225,Bloody Sunday,Kyle Chandler,Eliza Hittman
226,My Voyage to Italy,Lucas Hedges,Alexander Mackendrick
227,Phantom Thread,Michelle Williams,John Ford
228,Goodfellas,John Cassavetes,Sarah Polley
229,Wojnarowicz,Mia Farrow,Patrick Wang
230,Hamilton,Barton MacLane,Anonymous
231,Paths of the Soul,Elisha Cook Jr.,Christine Cynn
232,It's Such a Beautiful Day,Gladys George,Joshua Oppenheimer
233,My Perestroika,Humphrey Bogart,Lemohang Jeremiah Mosese
234,This Is Not a Film,Jerome Cowan,Elia Kazan
235,The Birds,Lee Patrick,Jafar Panahi
236,To Have and Have Not,Mary Astor,Pawel Pawlikowski
237,Finding Nemo,Peter Lorre,Claire Denis
238,Topsy-Turvy,Sydney Greenstreet,Ben Safdie
239,Samurai Rebellion,Ward Bond,Joshua Safdie
240,King Kong,Alfre Woodard,Ari Folman
241,Gunda,Benedict Cumberbatch,Peter Jackson
242,The Incredibles,Brad Pitt,Frederick Wiseman
243,Before Sunset,Chiwetel Ejiofor,Mike Leigh
244,Being John Malkovich,Garret Dillahunt,Franklin J. Schaffner
245,A Prophet,Michael Fassbender,Giorgos Lanthimos
246,Hard to Be a God,Michael K. Williams,Atom Egoyan
247,Almost Famous,Paul Dano,Philip Kaufman
248,Paths of Glory,Paul Giamatti,Bill Roberts
249,Cold War,Sarah Paulson,David Hand
250,Big Men,Angela Burnett,Graham Heid
251,American Splendor,Charles Bracy,James Algar
